,Time, thumbProximal_L_X, thumbProximal_L_Y, thumbProximal_L_Z, thumbDistal_L_X, thumbDistal_L_Y, thumbDistal_L_Z, thumbEF_L_X, thumbEF_L_Y, thumbEF_L_Z, indexProximal_L_X, indexProximal_L_Y, indexProximal_L_Z, indexMedial_L_X, indexMedial_L_Y, indexMedial_L_Z, indexDistal_L_X, indexDistal_L_Y, indexDistal_L_Z, indexEF_L_X, indexEF_L_Y, indexEF_L_Z, middleProximal_L_X, middleProximal_L_Y, middleProximal_L_Z, middleMedial_L_X, middleMedial_L_Y, middleMedial_L_Z, middleDistal_L_X, middleDistal_L_Y, middleDistal_L_Z, middleEF_L_X, middleEF_L_Y, middleEF_L_Z, ringProximal_L_X, ringProximal_L_Y, ringProximal_L_Z, ringMedial_L_X, ringMedial_L_Y, ringMedial_L_Z, ringDistal_L_X, ringDistal_L_Y, ringDistal_L_Z, ringEF_L_X, ringEF_L_Y, ringEF_L_Z, pinkyProximal_L_X, pinkyProximal_L_Y, pinkyProximal_L_Z, pinkyMedial_L_X, pinkyMedial_L_Y, pinkyMedial_L_Z, pinkyDistal_L_X, pinkyDistal_L_Y, pinkyDistal_L_Z, pinkyEF_L_X, pinkyEF_L_Y, pinkyEF_L_Z, palm_L_X, palm_L_Y, palm_L_Z, wrist_L_X, wrist_L_Y, wrist_L_Z, handBaseRadius_L_X, handBaseRadius_L_Y, handBaseRadius_L_Z, elbow_L_X, elbow_L_Y, elbow_L_Z, armFrontRadius_L_X, armFrontRadius_L_Y, armFrontRadius_L_Z, armFrontUlna_L_X, armFrontUlna_L_Y, armFrontUlna_L_Z, armBackLateral_L_X, armBackLateral_L_Y, armBackLateral_L_Z, armBackMedial_L_X, armBackMedial_L_Y, armBackMedial_L_Z
10,22:16:47.871 PM,-0.0927446,-0.06934865,0.4495595,-0.0981476,-0.07788098,0.4754593,-0.1105147,-0.08625352,0.4873363,-0.1008185,-0.03232051,0.4735499,-0.09266832,-0.06383075,0.4864987,-0.0958546,-0.07468443,0.4703617,-0.09982015,-0.07408339,0.4570212,-0.1204772,-0.03439774,0.4747461,-0.1063418,-0.06934682,0.4858445,-0.1064804,-0.07912926,0.4648248,-0.1102022,-0.07548994,0.4504145,-0.1396767,-0.04015499,0.4709936,-0.124676,-0.07132931,0.4824031,-0.1220757,-0.08025877,0.4618205,-0.1246387,-0.07691564,0.447181,-0.1558577,-0.04953544,0.4668269,-0.1408022,-0.07110958,0.4786175,-0.1369258,-0.07808019,0.4648086,-0.1387931,-0.07644434,0.4509759,-0.1226771,-0.04586561,0.4549747,-0.1344763,-0.06925932,0.3923836,-0.1040945,-0.06436606,0.4066418,-0.2134147,-0.2263719,0.2266503,-0.1204213,-0.0782705,0.3766181,-0.156425,-0.07595939,0.3915758,-0.1954128,-0.2275275,0.2191715,-0.2314165,-0.2252163,0.2341291
11,22:16:47.922 PM,-0.09278132,-0.06859873,0.4494256,-0.09819736,-0.07708028,0.4753393,-0.110562,-0.08549291,0.4871905,-0.1011109,-0.03156464,0.4732797,-0.09279758,-0.06299806,0.4863113,-0.09590955,-0.07385886,0.4701646,-0.09986228,-0.0732678,0.4568198,-0.120758,-0.03375635,0.4744615,-0.1064396,-0.06858353,0.4857075,-0.1064334,-0.07840383,0.464705,-0.110125,-0.07480565,0.4502766,-0.1399183,-0.03964202,0.4707078,-0.1247449,-0.07067674,0.4822685,-0.1220698,-0.0796566,0.4617175,-0.1246366,-0.07637882,0.4470639,-0.1560378,-0.04913405,0.4665555,-0.1408724,-0.07056236,0.4784705,-0.1369395,-0.07755953,0.464691,-0.1388041,-0.07598141,0.4508513,-0.1228668,-0.04530439,0.4547269,-0.1344584,-0.06899643,0.3922127,-0.1041194,-0.06385647,0.4064776,-0.2123421,-0.2274438,0.2272529,-0.1203376,-0.07801091,0.3765081,-0.1563676,-0.07582668,0.3914213,-0.1943271,-0.2285359,0.2197964,-0.2303571,-0.2263516,0.2347095
12,22:16:47.967 PM,-0.09301145,-0.0679298,0.4498585,-0.09853328,-0.07630442,0.4757847,-0.1109583,-0.08473164,0.4875621,-0.1017539,-0.03093252,0.473512,-0.09339265,-0.06232391,0.4866139,-0.09636166,-0.0731328,0.4704055,-0.1002315,-0.07247704,0.4570395,-0.1213952,-0.03321874,0.4746074,-0.1069666,-0.06792888,0.4860722,-0.1067677,-0.07782537,0.4651065,-0.1103939,-0.07426153,0.450653,-0.1405065,-0.03921971,0.4707874,-0.1252326,-0.07012407,0.482563,-0.1224125,-0.07918312,0.4620662,-0.124931,-0.07597074,0.4473897,-0.156557,-0.0488133,0.4666009,-0.1413443,-0.07010296,0.4787029,-0.1373042,-0.07715146,0.4649808,-0.1391152,-0.07563905,0.4511266,-0.1233477,-0.04487059,0.4549178,-0.1345706,-0.06887417,0.3924468,-0.1042679,-0.0635549,0.4068501,-0.2123136,-0.2274489,0.227543,-0.1204437,-0.07787479,0.3767397,-0.1564717,-0.07573101,0.3916634,-0.1942995,-0.2285207,0.2200811,-0.2303276,-0.226377,0.2350048
13,22:16:48.022 PM,-0.09254159,-0.06809773,0.450456,-0.09812963,-0.07639369,0.4763932,-0.1106127,-0.08482692,0.4881049,-0.1015475,-0.03118424,0.4740005,-0.09322751,-0.06258316,0.4871106,-0.09602249,-0.07328108,0.4707981,-0.09976784,-0.07251637,0.4574024,-0.1211863,-0.03351475,0.4750464,-0.1067263,-0.06817961,0.4866083,-0.1063863,-0.07805978,0.4656366,-0.1099533,-0.07446191,0.4511769,-0.1402723,-0.03957191,0.4711884,-0.1249558,-0.07041527,0.4830681,-0.12207,-0.07949415,0.4625892,-0.1245656,-0.07630266,0.4479043,-0.1562877,-0.04921529,0.4669823,-0.1410578,-0.07043721,0.4791811,-0.136967,-0.07750519,0.465484,-0.1387508,-0.07602137,0.4516232,-0.1230549,-0.04522415,0.4553828,-0.1341639,-0.06927477,0.3928801,-0.1037938,-0.06399165,0.4074199,-0.2140011,-0.225104,0.2263677,-0.120208,-0.07811616,0.3769317,-0.1561036,-0.07601631,0.3921773,-0.1960533,-0.226154,0.2187449,-0.2319489,-0.2240541,0.2339906
14,22:16:48.070 PM,-0.09169819,-0.06819472,0.4504729,-0.09724768,-0.07654503,0.476401,-0.1097585,-0.08500335,0.4880648,-0.1007823,-0.03148779,0.4741894,-0.09255933,-0.06297714,0.4871431,-0.09527757,-0.07352051,0.4707173,-0.09894956,-0.07261041,0.4573105,-0.1204236,-0.03378938,0.4752519,-0.1060331,-0.0685347,0.4866579,-0.1056332,-0.07827961,0.4656242,-0.1091593,-0.07455331,0.4511869,-0.1395244,-0.03980128,0.4713967,-0.1242452,-0.07070838,0.4831583,-0.1214025,-0.07971565,0.4626419,-0.1239139,-0.07646252,0.4479731,-0.1555611,-0.04940327,0.467177,-0.1403549,-0.0706858,0.4792995,-0.1362977,-0.07770807,0.4655689,-0.1381,-0.07616913,0.4517165,-0.1223364,-0.04542653,0.4555497,-0.1336096,-0.06921543,0.3929726,-0.1031667,-0.06405741,0.407497,-0.2150085,-0.2237171,0.2259797,-0.1197761,-0.0780273,0.3769016,-0.155583,-0.07585373,0.3923443,-0.197105,-0.2248039,0.2182583,-0.2329119,-0.2226303,0.233701
15,22:16:48.112 PM,-0.09082231,-0.06795052,0.4500185,-0.09636028,-0.07625332,0.4759642,-0.1089123,-0.08469127,0.4875985,-0.09992539,-0.03124838,0.4736933,-0.09171399,-0.06273489,0.4866612,-0.09445371,-0.07318594,0.47018,-0.09812905,-0.07218891,0.4567803,-0.1195647,-0.0335381,0.4748176,-0.1051755,-0.06825849,0.486301,-0.1047752,-0.07798864,0.4652603,-0.1083092,-0.07422294,0.4508353,-0.1386792,-0.03955039,0.4710317,-0.1233861,-0.07041512,0.4828861,-0.1206151,-0.07945615,0.4623746,-0.1231737,-0.07622242,0.4477098,-0.1547324,-0.04915506,0.4668813,-0.1395169,-0.07038304,0.4790875,-0.1355105,-0.07743832,0.4653589,-0.1373633,-0.07592294,0.4515106,-0.1215392,-0.04522228,0.4551494,-0.1330341,-0.06912069,0.3926469,-0.1025157,-0.06397906,0.4070875,-0.215729,-0.2230959,0.2258046,-0.1193122,-0.07792979,0.3764789,-0.1550254,-0.0757091,0.3921306,-0.1978724,-0.2242063,0.2179787,-0.2335855,-0.2219856,0.2336304
16,22:16:48.155 PM,-0.0903659,-0.06732285,0.4495994,-0.09590306,-0.07558422,0.4755585,-0.1084802,-0.0840164,0.4871699,-0.09957021,-0.03056841,0.4731893,-0.09126589,-0.06200157,0.4862272,-0.09409704,-0.07240827,0.4697334,-0.097844,-0.07136226,0.4563573,-0.119203,-0.03288764,0.4743648,-0.1047331,-0.06751493,0.4860265,-0.1043375,-0.07730553,0.4650138,-0.1079034,-0.07356051,0.4505912,-0.1383156,-0.03894569,0.4706422,-0.1229521,-0.06970924,0.4826674,-0.1202084,-0.07882188,0.462184,-0.1228087,-0.07563511,0.4475162,-0.1543614,-0.04859217,0.4665608,-0.1391032,-0.06970824,0.4789071,-0.1351138,-0.07681838,0.4652019,-0.1370089,-0.0753513,0.4513541,-0.1212008,-0.044644,0.454742,-0.1328165,-0.06873669,0.3923281,-0.102251,-0.06353667,0.4067044,-0.2162413,-0.2224538,0.2256112,-0.1191671,-0.07751553,0.3760826,-0.1548084,-0.07532956,0.3919019,-0.1984206,-0.2235468,0.2177016,-0.234062,-0.2213608,0.2335209
17,22:16:48.192 PM,-0.09017882,-0.06700273,0.4494945,-0.09573647,-0.07517208,0.4754784,-0.1083564,-0.08354476,0.4870864,-0.09946182,-0.03017797,0.4729795,-0.09121886,-0.06160338,0.4860749,-0.09410553,-0.07197784,0.4695705,-0.09786889,-0.07088518,0.4562027,-0.1190985,-0.03245969,0.4741643,-0.1046848,-0.06705937,0.4859767,-0.1043184,-0.07691656,0.4649946,-0.1078921,-0.07318729,0.4505699,-0.1382212,-0.03849988,0.4704652,-0.1229113,-0.06923421,0.4826326,-0.1201883,-0.07842046,0.4621793,-0.122794,-0.07526217,0.4475063,-0.1542833,-0.04813498,0.4664212,-0.1390679,-0.06921305,0.4788846,-0.135094,-0.07638241,0.4652058,-0.1370013,-0.07494771,0.4513563,-0.1211164,-0.04428795,0.4545868,-0.132768,-0.06859721,0.392262,-0.1021994,-0.06339678,0.4066217,-0.2163755,-0.2226786,0.2259735,-0.1191275,-0.07744293,0.3760453,-0.1547693,-0.07515964,0.3918498,-0.1985546,-0.2238203,0.2180712,-0.2341964,-0.221537,0.2338758
18,22:16:48.231 PM,-0.09003179,-0.06695694,0.4496278,-0.0955857,-0.07514684,0.4756061,-0.1082173,-0.08352846,0.4871948,-0.09952535,-0.03015557,0.4731539,-0.09129852,-0.06160425,0.4862036,-0.09418156,-0.07192408,0.4696643,-0.09793717,-0.0707801,0.4562986,-0.1191633,-0.03244488,0.4743025,-0.1047457,-0.06704611,0.4861054,-0.1044009,-0.07689825,0.4651207,-0.1079921,-0.07314911,0.4507054,-0.1382772,-0.03849044,0.4705666,-0.1229763,-0.06923105,0.4827294,-0.1202203,-0.07839404,0.4622701,-0.1228123,-0.07520485,0.4476014,-0.1543285,-0.04812968,0.4664897,-0.139128,-0.06920707,0.4789725,-0.1351297,-0.07636559,0.4652951,-0.1370247,-0.07490814,0.4514463,-0.1211418,-0.04426579,0.4547165,-0.1326976,-0.0685485,0.392364,-0.1021318,-0.06334804,0.4067777,-0.2164952,-0.2224934,0.2260447,-0.1190689,-0.0774048,0.3761432,-0.1547062,-0.0750867,0.3919529,-0.1986766,-0.2236524,0.2181399,-0.2343139,-0.2213344,0.2339496
19,22:16:48.268 PM,-0.08991706,-0.06685175,0.4497841,-0.09526584,-0.07495609,0.4758321,-0.1076918,-0.08339217,0.4876022,-0.09990167,-0.02990185,0.4731055,-0.09123293,-0.06107132,0.4865333,-0.09402169,-0.07173614,0.470198,-0.09783152,-0.07090531,0.4568246,-0.119511,-0.03241554,0.4742728,-0.104666,-0.06671542,0.4864203,-0.1042284,-0.07681458,0.465555,-0.107869,-0.07332243,0.4510877,-0.1385528,-0.0387098,0.4705793,-0.122894,-0.06916811,0.4829943,-0.1200042,-0.07848173,0.4626217,-0.1226123,-0.07546724,0.4479189,-0.1544897,-0.04856342,0.4665668,-0.1390456,-0.06936824,0.4792068,-0.1349353,-0.07660808,0.4656056,-0.1368209,-0.07530473,0.4517401,-0.1213526,-0.04438239,0.4547622,-0.1327112,-0.06909578,0.3925247,-0.1021255,-0.06354113,0.4069406,-0.2167001,-0.2227714,0.226053,-0.1191456,-0.07777191,0.3761543,-0.1546757,-0.07578721,0.392248,-0.198935,-0.2237638,0.2180062,-0.2344652,-0.2217791,0.2340998
20,22:16:48.302 PM,-0.09026927,-0.067249,0.4498456,-0.09559035,-0.07532418,0.4759083,-0.1079742,-0.08373623,0.4877398,-0.09998371,-0.03015973,0.4730807,-0.09124979,-0.06127331,0.4865957,-0.09408184,-0.07207151,0.4703557,-0.09793852,-0.07136643,0.4569885,-0.1195889,-0.03267089,0.4743217,-0.1046964,-0.06694001,0.4864981,-0.1043353,-0.07712273,0.465672,-0.1080211,-0.07371673,0.4511956,-0.1386434,-0.03897241,0.4707076,-0.12294,-0.06941119,0.4831141,-0.1201106,-0.07878663,0.4627613,-0.1227556,-0.07583334,0.4480527,-0.1545943,-0.04883394,0.4667708,-0.1391007,-0.0696248,0.4793731,-0.135029,-0.07690103,0.4657798,-0.1369467,-0.07564706,0.4519142,-0.1214988,-0.0446769,0.4548418,-0.1330408,-0.069443,0.3926432,-0.1024395,-0.06393175,0.4069917,-0.2168526,-0.2220198,0.2250752,-0.1194735,-0.07795794,0.3761897,-0.1549892,-0.07618576,0.3923398,-0.1990947,-0.2229059,0.2170001,-0.2346105,-0.2211338,0.2331502
21,22:16:48.345 PM,-0.09074863,-0.06792063,0.4498932,-0.09611678,-0.0760866,0.475918,-0.1085211,-0.08448997,0.4877342,-0.09993698,-0.0307824,0.4732263,-0.09131285,-0.06197423,0.486631,-0.09416492,-0.07279129,0.4704071,-0.09800992,-0.07214217,0.4570337,-0.1195491,-0.0332091,0.4745243,-0.1047844,-0.06763078,0.4864227,-0.1045179,-0.07768871,0.4655347,-0.1082074,-0.07422465,0.451073,-0.1386442,-0.03941055,0.4709514,-0.123028,-0.07000771,0.4830751,-0.1203295,-0.07928258,0.4626587,-0.1230091,-0.07626593,0.4479691,-0.154653,-0.04918484,0.4670322,-0.139191,-0.0701379,0.4794025,-0.1352152,-0.07734729,0.4657453,-0.1371753,-0.07602015,0.4518924,-0.1215792,-0.04513399,0.4550068,-0.1333231,-0.06962298,0.3927338,-0.1027687,-0.06429771,0.4070218,-0.2156018,-0.2216176,0.2238818,-0.1196244,-0.07801906,0.3763282,-0.1552497,-0.07642636,0.3922542,-0.1977891,-0.2224139,0.2159189,-0.2334145,-0.2208212,0.2318448
